"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"ccmm",96,2,1,2,0.666666666666667,0.5,0.571428571428572
"ldm",96,1,1,3,0.5,0.25,0.333333333333333
"hima",96,1,3,3,0.25,0.25,0.25
"microbvs",96,2,6,2,0.25,0.5,0.333333333333333
"medzim",96,0,0,4,0,0,0
"ccmm",97,0,0,4,0,0,0
"ldm",97,0,0,4,0,0,0
"microbvs",97,1,2,3,0.333333333333333,0.25,0.285714285714286
"medzim",97,0,2,4,0,0,0
"ccmm",98,3,0,1,1,0.75,0.857142857142857
"ldm",98,1,0,3,1,0.25,0.4
"hima",98,1,1,3,0.5,0.25,0.333333333333333
"microbvs",98,0,3,4,0,0,0
"medzim",98,0,0,4,0,0,0
"ccmm",99,0,0,4,0,0,0
"ldm",99,1,1,3,0.5,0.25,0.333333333333333
"hima",99,0,1,4,0,0,0
"microbvs",99,0,4,4,0,0,0
"medzim",99,0,1,4,0,0,0
"ccmm",100,0,1,4,0,0,0
"ldm",100,3,8,1,0.272727272727273,0.75,0.4
"hima",100,0,0,4,0,0,0
"microbvs",100,0,3,4,0,0,0
"medzim",100,0,5,4,0,0,0
"ccmm",101,0,2,4,0,0,0
"ldm",101,0,0,4,0,0,0
"hima",101,0,0,4,0,0,0
"microbvs",101,1,6,3,0.142857142857143,0.25,0.181818181818182
"medzim",101,0,7,4,0,0,0
"ccmm",102,1,6,3,0.142857142857143,0.25,0.181818181818182
"ldm",102,3,12,1,0.2,0.75,0.315789473684211
"hima",102,0,4,4,0,0,0
"microbvs",102,0,2,4,0,0,0
"medzim",102,0,3,4,0,0,0
"ccmm",103,0,1,4,0,0,0
"ldm",103,0,1,4,0,0,0
"hima",103,2,1,2,0.666666666666667,0.5,0.571428571428572
"microbvs",103,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",103,0,0,4,0,0,0
"ccmm",104,0,0,4,0,0,0
"ldm",104,0,0,4,0,0,0
"hima",104,0,0,4,0,0,0
"microbvs",104,1,4,3,0.2,0.25,0.222222222222222
"medzim",104,0,0,4,0,0,0
"ccmm",105,0,0,4,0,0,0
"ldm",105,0,1,4,0,0,0
"microbvs",105,1,4,3,0.2,0.25,0.222222222222222
"medzim",105,0,1,4,0,0,0
"ccmm",106,1,3,3,0.25,0.25,0.25
"ldm",106,1,6,3,0.142857142857143,0.25,0.181818181818182
"hima",106,0,3,4,0,0,0
"microbvs",106,0,1,4,0,0,0
"medzim",106,0,0,4,0,0,0
"ccmm",107,0,5,4,0,0,0
"ldm",107,1,5,3,0.166666666666667,0.25,0.2
"hima",107,0,1,4,0,0,0
"microbvs",107,2,7,2,0.222222222222222,0.5,0.307692307692308
"medzim",107,0,1,4,0,0,0
"ccmm",108,1,8,3,0.111111111111111,0.25,0.153846153846154
"ldm",108,1,5,3,0.166666666666667,0.25,0.2
"hima",108,0,2,4,0,0,0
"microbvs",108,0,0,4,0,0,0
"medzim",108,0,1,4,0,0,0
"ccmm",109,1,3,3,0.25,0.25,0.25
"ldm",109,2,0,2,1,0.5,0.666666666666667
"hima",109,0,0,4,0,0,0
"microbvs",109,0,5,4,0,0,0
"medzim",109,1,0,3,1,0.25,0.4
"ccmm",110,1,6,3,0.142857142857143,0.25,0.181818181818182
"ldm",110,2,10,2,0.166666666666667,0.5,0.25
"hima",110,1,2,3,0.333333333333333,0.25,0.285714285714286
"microbvs",110,0,2,4,0,0,0
"medzim",110,0,1,4,0,0,0
