"method","iteration","true_positives","false_positives","false_negatives","precision","recall","f1_score"
"microbvs",95,1,3,3,0.25,0.25,0.25
"medzim",95,0,0,4,0,0,0
"npem",95,0,0,4,0,0,0
"ccmm",96,0,0,4,0,0,0
"ldm",96,0,0,4,0,0,0
"microbvs",96,0,4,4,0,0,0
"medzim",96,0,0,4,0,0,0
"npem",96,0,0,4,0,0,0
"ccmm",97,0,0,4,0,0,0
"ldm",97,0,0,4,0,0,0
"microbvs",97,3,1,1,0.75,0.75,0.75
"medzim",97,0,0,4,0,0,0
"npem",97,0,0,4,0,0,0
"ccmm",98,0,0,4,0,0,0
"ldm",98,0,0,4,0,0,0
"microbvs",98,1,5,3,0.166666666666667,0.25,0.2
"medzim",98,0,1,4,0,0,0
"npem",98,0,0,4,0,0,0
"ccmm",99,0,0,4,0,0,0
"ldm",99,1,0,3,1,0.25,0.4
"microbvs",99,2,2,2,0.5,0.5,0.5
"medzim",99,0,0,4,0,0,0
"npem",99,0,0,4,0,0,0
"ccmm",100,0,0,4,0,0,0
"ldm",100,0,0,4,0,0,0
"microbvs",100,3,9,1,0.25,0.75,0.375
"medzim",100,0,0,4,0,0,0
"npem",100,0,0,4,0,0,0
"ccmm",101,2,4,2,0.333333333333333,0.5,0.4
"ldm",101,0,1,4,0,0,0
"hima",101,1,0,3,1,0.25,0.4
"microbvs",101,0,4,4,0,0,0
"medzim",101,0,0,4,0,0,0
"npem",101,0,0,4,0,0,0
"ccmm",102,1,2,3,0.333333333333333,0.25,0.285714285714286
"ldm",102,0,0,4,0,0,0
"microbvs",102,3,9,1,0.25,0.75,0.375
"medzim",102,0,0,4,0,0,0
"npem",102,0,0,4,0,0,0
"ccmm",103,0,1,4,0,0,0
"ldm",103,0,1,4,0,0,0
"microbvs",103,2,6,2,0.25,0.5,0.333333333333333
"medzim",103,0,1,4,0,0,0
"npem",103,0,0,4,0,0,0
"ccmm",104,2,1,2,0.666666666666667,0.5,0.571428571428572
"ldm",104,1,0,3,1,0.25,0.4
"hima",104,0,0,4,0,0,0
"microbvs",104,1,3,3,0.25,0.25,0.25
"medzim",104,0,2,4,0,0,0
"npem",104,0,0,4,0,0,0
"ccmm",105,1,1,3,0.5,0.25,0.333333333333333
"ldm",105,0,1,4,0,0,0
"hima",105,0,0,4,0,0,0
"microbvs",105,4,13,0,0.235294117647059,1,0.380952380952381
"medzim",105,0,0,4,0,0,0
"npem",105,0,0,4,0,0,0
"ccmm",106,0,0,4,0,0,0
"ldm",106,0,1,4,0,0,0
"microbvs",106,4,15,0,0.210526315789474,1,0.347826086956522
"medzim",106,0,2,4,0,0,0
"npem",106,0,0,4,0,0,0
"ccmm",107,0,0,4,0,0,0
"ldm",107,0,2,4,0,0,0
"microbvs",107,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",107,0,1,4,0,0,0
"npem",107,0,0,4,0,0,0
"ccmm",108,1,3,3,0.25,0.25,0.25
"ldm",108,2,4,2,0.333333333333333,0.5,0.4
"hima",108,0,0,4,0,0,0
"microbvs",108,3,10,1,0.230769230769231,0.75,0.352941176470588
"medzim",108,2,2,2,0.5,0.5,0.5
"npem",108,0,0,4,0,0,0
"ccmm",109,0,0,4,0,0,0
"ldm",109,1,0,3,1,0.25,0.4
"hima",109,0,0,4,0,0,0
"microbvs",109,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",109,1,0,3,1,0.25,0.4
"npem",109,0,0,4,0,0,0
"ccmm",110,0,0,4,0,0,0
"ldm",110,1,0,3,1,0.25,0.4
"microbvs",110,1,3,3,0.25,0.25,0.25
"medzim",110,1,2,3,0.333333333333333,0.25,0.285714285714286
"npem",110,0,0,4,0,0,0
"ccmm",111,0,2,4,0,0,0
"ldm",111,0,1,4,0,0,0
"hima",111,0,1,4,0,0,0
"microbvs",111,1,8,3,0.111111111111111,0.25,0.153846153846154
"medzim",111,0,4,4,0,0,0
"npem",111,0,0,4,0,0,0
"ccmm",112,1,1,3,0.5,0.25,0.333333333333333
"ldm",112,1,0,3,1,0.25,0.4
"hima",112,0,0,4,0,0,0
"microbvs",112,0,10,4,0,0,0
"medzim",112,0,1,4,0,0,0
"npem",112,0,0,4,0,0,0
"ccmm",113,0,1,4,0,0,0
"ldm",113,0,0,4,0,0,0
"microbvs",113,1,3,3,0.25,0.25,0.25
"medzim",113,0,0,4,0,0,0
"npem",113,0,0,4,0,0,0
"ccmm",114,1,4,3,0.2,0.25,0.222222222222222
"ldm",114,0,2,4,0,0,0
"hima",114,0,1,4,0,0,0
"microbvs",114,2,2,2,0.5,0.5,0.5
"medzim",114,2,0,2,1,0.5,0.666666666666667
"npem",114,0,0,4,0,0,0
"ccmm",115,0,0,4,0,0,0
"ldm",115,0,0,4,0,0,0
"microbvs",115,1,10,3,0.0909090909090909,0.25,0.133333333333333
"medzim",115,0,0,4,0,0,0
"npem",115,0,0,4,0,0,0
"ccmm",116,2,0,2,1,0.5,0.666666666666667
"ldm",116,1,0,3,1,0.25,0.4
"hima",116,0,0,4,0,0,0
"microbvs",116,0,4,4,0,0,0
"medzim",116,0,1,4,0,0,0
"npem",116,0,0,4,0,0,0
"ccmm",117,0,1,4,0,0,0
"ldm",117,0,0,4,0,0,0
"microbvs",117,2,5,2,0.285714285714286,0.5,0.363636363636364
"medzim",117,1,2,3,0.333333333333333,0.25,0.285714285714286
